,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose,glycerol+aa,lb
b2598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2599,0.000216693604767,0.000101353471703,9.81462134956e-05,0.000120360071889,0.00010680656496,0.000117288416235,0.000120974700919,6.10836444174e-05,3.42587048418e-05
b2600,6.04509440288e-05,7.96993130358e-05,0.000191861698711,9.8806271403e-05,0.000129060931674,4.8338479662e-05,0.000105481637645,1.8100613616e-05,2.46861725882e-05
b2601,9.84321293843e-05,0.000120819341362,0.000331546257134,0.000146479426145,0.000222780865099,9.75338880193e-05,0.000142762300518,2.09730249882e-05,2.06717776953e-05
b2602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2605,7.18540319596e-08,7.54561228941e-08,3.4362718366e-08,6.47522145518e-08,6.8891950041e-08,2.15591011595e-07,1.240509288e-07,6.50242646507e-08,5.92655958256e-08
b2606,7.29592954561e-05,8.21766128747e-05,0.000111438715177,0.000130713230499,0.000191805715363,0.00011356600815,0.000128055272904,0.000218440646862,0.000254499336242
b2607,2.13496335187e-06,4.13269051554e-06,4.15962824548e-06,5.07400170915e-06,2.1902535383e-06,2.75177201383e-06,6.11818457299e-06,4.78430147959e-06,7.87383316853e-06
b2608,1.54830619552e-05,1.70113407336e-05,1.81289544885e-05,2.02023630974e-05,1.96352720699e-05,1.92354448919e-05,2.83140690938e-05,3.46174690628e-05,4.07569942781e-05
b2609,0.000756355430838,0.000556610170218,0.000646915696463,0.00090768539541,0.001126478779,0.000931750925558,0.00105979546714,0.00119040156121,0.00147252348701
b2610,5.43865067432e-05,5.1038367857e-05,6.2322796751e-05,6.76126804697e-05,6.94543105082e-05,5.0582744742e-05,8.16039093935e-05,6.73611199212e-05,9.7255203643e-05
b2611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2614,0.000173946149574,0.000201986055528,0.00019945069157,0.000244535580248,0.000213966412146,0.00020243181142,0.000228068667335,0.000322249063176,0.000430296886674
b2615,5.02002706343e-07,6.27708104346e-07,4.79167144535e-07,6.56736878339e-07,3.63179889191e-07,3.70939262888e-07,1.11711189551e-06,1.07823004739e-06,8.83161647649e-07
b2616,0.0,0.0,1.23578691263e-09,0.0,0.0,0.0,1.08784059211e-09,0.0,7.06472588166e-07
b2617,4.63768905358e-05,4.22426331669e-05,5.99726750939e-05,5.66323877407e-05,6.32698937595e-05,5.34625922518e-05,5.94032610253e-05,4.4300027127e-05,4.31033893481e-05
b2618,1.80637351668e-06,1.98661246407e-06,1.58793031254e-06,1.83749385383e-06,2.7839286636e-06,2.34802067263e-06,2.4230640438e-06,1.23808276728e-06,1.72164892687e-06
b2619,1.92931525933e-07,2.43944137607e-07,4.01402515775e-07,3.58829521678e-07,0.0,2.59303950759e-07,1.02549234273e-06,0.0,5.041598964e-06
b2620,9.06030501771e-06,8.26930367373e-06,1.18711052279e-05,1.19519451301e-05,1.21058770649e-05,9.23967799981e-06,1.06949553511e-05,1.15042118633e-05,1.29278442624e-05
b2622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2659,1.24427007458e-05,2.05350294884e-05,1.93562045261e-05,1.60595290195e-05,3.63673202649e-06,1.05540823544e-05,3.69507417295e-06,3.03721212744e-05,2.78595382401e-05
b2660,9.02354415181e-07,1.31871479316e-06,1.49982635696e-06,1.03908670441e-06,7.49706362931e-07,6.75879236379e-07,8.02612922606e-07,1.32591691482e-06,9.62129830986e-07
b2661,0.000155482968884,0.000121517614738,0.000143394293176,0.000111625762153,7.71383695138e-05,9.27113265928e-05,6.58381160109e-05,0.000120186195456,7.63020523405e-05
b2662,0.000153275724633,0.000106258825487,0.000140408384826,0.000112995515253,7.0174429036e-05,7.79309501458e-05,4.86223596188e-05,9.84251993202e-05,5.07172658429e-05
b2663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2664,2.03709941376e-07,2.12141365717e-07,8.24945599469e-08,2.22451031823e-07,0.0,1.09181682667e-07,2.49736622993e-07,0.0,1.46566319765e-09
b2665,0.000220393359049,0.000107709096611,9.21487965363e-05,9.32407410571e-05,8.64039422847e-05,9.55109504169e-05,5.28396859121e-05,2.97612737502e-05,2.15965339812e-05
b2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2667,1.28789486421e-06,2.02942413925e-06,1.2267977881e-06,1.7836107182e-06,0.0,1.84059017909e-06,2.67710154407e-06,0.0,1.62782851154e-06
b2668,2.61478799066e-05,1.35387861492e-05,1.88784204448e-05,1.59883478692e-05,2.4013717915e-05,2.16523962389e-05,1.59135820913e-05,1.59753950728e-05,2.46543006667e-05
b2669,7.65164436293e-05,7.12229235766e-05,5.86427836041e-05,7.31486712172e-05,9.39585359915e-05,9.41069701195e-05,0.000186613453098,5.5312027972e-05,9.43521365677e-05
b2670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2671,2.92439471998e-07,2.91001139065e-07,2.34321663766e-07,4.29346652906e-07,0.0,2.82864222305e-07,7.57014432782e-07,0.0,5.84978109635e-07
b2672,4.15401986815e-05,2.31495120937e-05,1.02131048144e-05,1.53546280894e-05,9.14877797729e-06,1.07968921197e-05,1.05082977172e-05,9.12398740262e-06,7.38191114171e-06
b2673,1.49206759433e-07,2.01155430221e-07,1.00625704478e-07,7.71722949621e-08,0.0,3.53836329571e-07,5.41999628071e-07,0.0,6.38926032956e-08
b2674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2675,3.32221935535e-06,1.43324139359e-06,2.26945147054e-06,1.8254326252e-06,1.75806201389e-06,1.33734254941e-06,2.04909079227e-06,1.83346697991e-06,7.57076646624e-07
b2676,1.8802889396e-06,3.01862895256e-06,2.11256187869e-06,2.43259144149e-06,1.60087623596e-06,1.2680375187e-06,2.75848015263e-06,1.6748579951e-06,1.96120538304e-06
b2677,3.99204155641e-07,2.35753859257e-07,5.22677900426e-07,4.10783239615e-07,2.28233133574e-07,3.22143013301e-07,2.25200458319e-06,1.50278831871e-06,6.15118115654e-05
b2678,8.76271468943e-07,7.73669237784e-07,2.85467487695e-07,5.67189089418e-07,8.83196377218e-07,5.0774037558e-07,1.9876714992e-06,1.3132520635e-06,5.79934986023e-05
b2679,2.30091932984e-05,2.21324768432e-05,2.9417161359e-05,2.15478966809e-05,1.43119871921e-05,3.05115645566e-05,5.01740704665e-05,5.71217180652e-05,0.000426494542972
b2682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2684,1.70415911939e-05,2.54639294935e-05,3.35897483284e-05,2.9860472283e-05,3.89773397033e-05,3.6630668547e-05,3.95268480725e-05,3.72014080844e-05,4.1841179064e-05
b2685,8.41701558703e-07,7.91935610298e-07,1.70833694485e-06,9.24541121375e-07,1.96012844864e-06,1.31195615002e-06,3.35443734029e-06,3.74227481977e-06,6.97976852539e-06
b2686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
